Hours,Attendance,Previous Marks,Assignments,Final Marks
6.2,65.6,65.5,61.3,65.7
2.4,88.7,43.3,88.5,56.3
5.3,88.6,94.0,57.7,64.2
5.8,76.1,50.0,74.3,65.2
1.5,98.8,39.4,84.7,48.4
4.0,56.3,74.8,62.7,60.6
2.2,50.8,70.7,58.2,51.7
1.6,88.5,59.9,67.6,59.4
9.9,90.4,60.3,89.1,91.0
3.9,56.0,82.1,95.8,70.6
8.3,63.3,46.7,72.7,73.8
3.3,50.9,84.2,79.7,60.4
7.1,64.7,73.9,94.2,74.3
7.8,88.7,60.1,45.9,74.3
6.4,75.9,62.5,53.9,68.1
5.2,67.4,50.4,82.5,57.6
4.7,68.6,80.1,89.4,69.6
4.1,50.1,65.8,91.4,57.6
9.4,65.0,54.3,64.9,67.7
8.5,82.3,70.8,45.4,80.7
9.7,98.7,94.7,66.3,92.3
2.1,92.4,61.1,53.8,62.5
7.6,51.2,90.2,57.5,64.4
9.4,94.9,55.7,86.3,78.8
2.6,89.2,38.3,44.5,45.3
1.6,89.0,47.3,89.7,56.7
7.7,72.9,60.1,65.7,71.4
6.2,69.9,48.2,75.8,63.1
8.6,65.1,35.0,45.4,54.8
2.3,53.3,89.9,60.2,48.9
8.2,61.4,85.6,45.4,75.1
2.8,62.3,79.5,97.7,53.9
2.5,74.2,45.1,88.4,47.7
2.5,87.4,42.2,67.6,51.5
8.3,73.7,39.1,53.4,58.6
7.0,52.9,78.4,96.0,81.0
5.7,97.9,90.7,60.7,82.0
4.2,97.1,60.8,49.7,52.0
8.9,89.3,42.1,73.8,68.0
4.5,99.6,65.7,96.6,58.4
8.3,77.2,55.9,40.2,63.4
5.0,98.1,57.5,54.3,66.3
4.4,53.8,72.3,96.3,60.2
5.2,68.3,78.1,50.3,65.1
3.7,61.3,41.6,46.8,37.1
7.7,59.8,37.1,74.2,65.2
5.5,57.0,94.7,91.7,70.0
3.1,81.1,49.0,68.6,52.1
9.1,89.1,38.2,99.7,75.6
4.5,78.9,46.4,80.8,51.2
5.9,57.3,37.3,44.4,44.2
9.2,90.6,58.5,99.6,87.6
6.6,81.8,83.1,64.5,76.1
2.1,69.4,55.5,57.2,51.7
9.5,83.7,61.7,73.5,81.1
6.6,63.0,75.5,58.3,67.8
4.0,67.3,65.5,45.2,45.3
2.3,95.9,86.7,40.1,57.9
8.1,64.5,87.0,67.0,77.3
6.6,73.5,35.6,90.2,71.8
5.8,94.5,81.7,74.3,78.3
9.0,85.4,62.6,100.0,90.0
8.1,53.1,94.3,57.2,78.8
2.4,57.4,64.0,56.8,44.0
3.8,50.4,94.2,49.6,59.7
3.2,81.5,80.3,49.8,60.2
7.7,72.4,49.9,57.1,60.3
1.3,56.7,67.3,87.6,47.3
6.1,97.9,94.5,94.3,82.4
7.9,76.5,86.5,98.5,91.7
8.9,62.1,40.8,53.9,53.5
4.1,75.0,77.4,92.9,72.5
8.4,84.0,55.7,59.7,67.2
2.0,53.8,35.4,46.8,28.5
8.6,63.7,59.2,92.2,80.3
2.1,90.3,49.1,78.2,55.5
4.6,73.0,84.1,49.9,69.7
8.2,77.3,55.2,65.8,74.6
2.3,71.6,84.7,57.2,66.7
3.1,52.2,35.0,84.2,47.2
7.5,58.3,53.5,67.2,63.3
7.5,72.3,49.5,99.4,72.2
6.8,60.5,49.0,43.3,63.3
7.2,52.5,39.1,61.3,52.7
5.9,92.2,46.2,68.9,60.0
3.3,99.1,68.3,70.2,60.8
4.1,89.7,52.5,59.0,46.4
2.6,92.7,60.0,83.8,58.9
9.2,62.1,57.6,92.5,66.3
6.3,98.0,87.6,96.3,82.6
4.6,59.8,89.3,88.3,72.4
5.2,97.6,64.6,91.0,68.4
9.5,99.7,54.8,73.0,89.0
2.4,85.6,41.4,89.6,44.1
6.3,99.1,92.2,58.2,84.2
5.6,78.5,38.6,63.9,59.8
6.5,63.0,52.9,59.0,51.5
1.2,71.8,52.9,68.0,58.2
8.8,79.7,54.2,57.1,71.2
9.4,53.7,44.9,97.7,67.4
6.1,81.1,82.0,58.8,64.0
7.3,99.1,42.3,45.9,63.8
9.3,59.5,73.1,71.6,76.5
7.4,89.6,42.4,43.4,63.6
2.4,95.4,39.2,46.6,44.7
6.2,97.2,89.6,53.2,79.2
6.5,98.0,46.4,67.9,64.5
4.8,76.1,84.3,66.0,57.5
7.6,98.9,67.7,88.0,79.1
9.4,87.9,39.7,84.4,63.2
9.3,58.1,92.3,65.6,83.5
5.1,73.8,49.8,60.0,51.7
2.0,85.9,86.6,59.0,59.8
9.9,62.4,45.1,86.4,80.2
8.6,82.0,86.2,43.1,74.1
2.1,83.3,35.8,40.8,46.2
9.3,58.1,65.7,87.7,74.9
8.8,78.3,81.2,68.6,89.9
5.7,88.6,91.1,47.9,70.4
6.3,74.9,89.6,54.1,67.8
4.6,50.6,84.2,96.0,69.3
1.5,50.5,88.3,91.6,53.4
4.0,67.9,47.0,82.6,49.9
8.2,96.3,52.1,68.9,71.5
1.0,61.4,52.3,71.2,41.9
4.0,81.7,57.6,98.5,69.1
4.6,61.1,58.6,97.9,50.9
5.8,66.1,67.7,52.9,61.9
9.3,92.4,44.6,88.7,80.8
4.1,86.4,76.5,51.8,63.3
4.1,54.8,45.1,52.8,53.3
7.6,71.4,53.6,80.6,68.7
5.1,51.5,65.2,64.3,56.4
3.0,74.0,82.8,95.9,67.5
5.1,83.1,79.4,45.3,65.6
2.3,55.9,73.7,70.7,50.0
2.6,64.4,44.3,95.1,52.1
5.5,69.9,67.8,94.2,64.4
4.8,96.0,40.2,49.4,52.4
9.2,99.7,57.6,62.0,76.1
4.3,52.2,59.8,77.1,61.8
6.2,88.1,37.4,49.6,41.9
6.7,68.6,51.4,98.1,69.3
1.1,69.6,92.3,94.9,59.9
7.0,87.7,92.2,50.0,68.8
2.6,95.9,56.1,47.3,53.8
9.6,97.5,37.6,45.1,73.5
2.3,78.9,45.7,94.6,54.7
4.7,67.9,58.5,51.6,42.1
1.8,89.4,91.9,65.0,68.3
10.0,62.6,43.5,66.9,66.9
5.5,78.2,80.8,75.9,73.9
6.4,67.9,41.5,44.3,58.8
1.6,82.8,93.9,53.6,54.0
7.7,62.0,57.9,95.9,74.4
2.9,59.6,81.5,94.5,58.8
9.1,95.9,55.6,86.9,70.4
2.8,55.1,72.7,41.2,54.6
2.7,75.3,46.5,59.6,43.5
1.3,61.0,43.8,77.7,37.3
5.2,51.9,91.3,56.5,62.4
6.1,51.8,90.1,94.6,74.3
1.6,58.8,88.2,78.0,55.2
8.0,93.3,72.5,44.3,77.8
5.1,64.1,83.5,94.5,63.2
5.7,97.5,39.1,97.5,62.1
5.0,79.1,55.1,44.7,56.0
4.6,71.8,53.8,71.9,66.9
6.0,79.0,73.1,58.2,66.9
2.4,75.8,56.4,63.6,55.4
2.6,87.9,43.9,50.8,47.7
8.8,64.1,70.8,74.7,73.6
9.5,67.7,83.9,97.5,85.4
4.4,94.7,57.9,70.2,61.4
3.4,97.3,42.9,45.0,54.0
6.8,94.6,46.8,77.2,75.2
4.7,71.0,49.2,60.4,56.3
1.2,89.0,53.0,91.4,57.5
2.4,73.8,73.6,66.1,50.3
7.4,74.9,71.1,51.6,67.9
6.9,60.2,76.8,51.5,63.3
1.2,79.6,56.8,86.1,51.6
3.0,59.3,84.4,55.9,54.3
3.1,66.6,47.2,86.0,54.9
7.0,92.8,63.1,52.4,65.2
1.2,60.4,83.1,59.3,50.3
1.9,53.6,45.8,67.9,44.7
8.2,53.5,41.6,96.6,56.0
2.6,97.0,88.0,95.9,79.9
6.9,75.3,55.6,52.4,62.3
3.1,70.5,76.0,61.5,46.8
1.9,90.5,36.5,49.0,43.8
3.2,91.8,76.4,70.6,63.2
7.5,66.6,54.0,67.6,65.5
8.7,84.7,38.3,94.0,77.9
8.5,88.6,71.6,95.8,87.1
4.6,82.7,49.4,63.0,58.4
7.0,57.6,58.2,69.5,66.2
2.8,93.8,39.8,93.8,54.0
3.6,77.0,43.8,88.4,63.3
9.1,64.1,52.9,40.2,59.2
1.1,71.3,40.4,59.2,39.8
1.8,51.9,89.6,65.3,53.7
2.9,56.4,35.4,53.8,44.2
1.2,88.3,64.0,52.0,44.6
2.6,50.0,42.4,42.3,29.4
6.2,70.8,53.5,78.6,64.5
4.8,76.1,90.6,55.8,69.0
9.0,52.7,44.7,43.1,69.4
8.4,98.7,92.9,53.9,78.7
4.1,61.3,47.3,88.1,59.8
3.3,65.2,79.5,91.1,73.9
4.4,65.2,67.8,69.0,57.2
6.3,61.5,88.1,65.0,64.1
3.4,50.1,68.2,98.7,55.2
6.6,86.5,67.1,52.0,68.4
4.7,98.3,46.7,52.9,60.9
6.0,61.2,45.0,57.5,52.4
4.9,83.2,90.0,50.4,76.1
3.7,87.1,54.7,62.8,50.6
9.5,92.4,57.3,94.7,74.4
7.9,71.1,80.6,76.9,83.1
2.3,65.1,55.3,64.7,36.0
8.8,66.3,92.1,96.1,85.1
5.4,85.6,79.3,42.9,81.8
9.1,90.8,70.8,52.6,79.1
8.2,59.1,87.9,74.0,72.4
4.8,68.5,38.0,76.9,53.1
1.2,95.1,50.4,42.4,44.4
3.4,90.3,62.9,64.2,59.3
5.9,99.2,48.6,78.9,70.2
6.7,87.7,79.6,81.9,72.0
3.3,69.7,90.2,78.3,72.7
2.3,79.5,60.4,59.2,52.2
8.5,83.1,55.5,45.6,73.5
9.9,53.9,92.7,65.6,79.9
5.7,77.2,61.7,47.7,67.5
2.5,85.5,64.3,96.9,58.4
3.5,58.4,56.1,68.5,52.4
1.2,89.0,89.6,59.0,53.1
9.2,79.2,69.1,86.0,76.7
2.1,97.6,80.7,69.9,65.0
6.2,52.1,83.7,58.6,63.8
3.5,63.3,55.5,88.7,50.6
6.0,80.1,61.0,92.0,65.9
6.9,64.8,85.9,80.4,78.4
8.5,85.7,56.8,42.8,67.2
2.9,88.0,82.6,74.0,63.0
1.1,55.1,91.5,85.8,55.3
2.2,75.7,72.4,48.2,42.2
9.1,75.4,79.5,53.7,71.5
8.9,68.5,83.3,92.9,85.5
6.4,96.6,85.7,41.2,69.9
6.4,91.4,58.7,85.2,76.4
7.0,84.9,38.1,68.4,68.0
2.6,85.7,59.1,66.8,57.6
9.2,73.1,75.4,40.4,84.6
4.8,96.0,62.0,89.2,67.6
4.4,84.7,79.9,61.6,68.8
5.7,86.4,56.4,72.4,62.1
1.4,93.1,73.1,80.6,69.8
2.5,63.7,46.2,82.2,57.6
7.6,90.4,80.0,97.4,83.3
1.7,59.8,67.7,71.9,50.9
6.4,67.3,47.2,64.0,66.4
3.2,66.8,52.5,97.2,54.2
4.5,98.9,79.9,78.5,68.0
3.6,92.8,64.0,57.9,63.4
4.2,85.1,48.0,47.6,53.7
7.5,86.4,93.0,90.6,85.9
3.7,78.1,77.9,61.7,57.0
6.1,97.4,92.4,79.6,71.9
5.3,74.8,60.6,68.2,63.1
7.0,69.0,63.5,51.9,69.7
9.4,58.2,88.9,76.1,81.5
7.6,89.3,66.5,43.6,78.1
2.9,86.7,77.4,64.8,56.9
1.3,69.2,50.1,72.8,39.1
3.4,51.3,61.8,66.2,50.3
6.4,91.9,42.4,84.9,65.8
1.5,50.6,47.4,89.7,46.9
5.5,85.2,35.1,86.3,55.9
6.4,98.5,37.4,42.3,66.5
4.0,71.9,93.6,51.6,74.0
7.9,61.7,49.5,72.2,65.5
2.0,85.2,74.8,96.1,67.1
1.7,90.9,85.3,90.1,58.0
7.6,77.3,68.0,90.6,81.4
5.5,98.4,44.2,58.2,66.2
7.2,52.6,78.7,65.8,73.5
4.9,75.2,71.0,68.2,63.6
3.2,85.9,78.9,49.4,44.7
8.4,93.1,81.2,41.9,75.5
8.2,59.0,93.5,96.8,79.9
7.3,90.0,69.4,54.4,67.6
3.4,77.6,55.5,54.4,52.8
6.3,69.8,73.9,45.0,62.8
4.2,56.6,39.1,95.7,48.0
1.8,93.3,88.8,74.8,57.5
9.3,57.9,42.2,80.0,65.2
2.2,65.5,54.7,94.7,57.0
9.6,64.5,83.9,60.7,77.5
5.0,93.6,70.8,77.3,66.5
2.7,83.6,58.6,42.3,47.8
5.9,89.8,63.4,51.2,67.0
8.9,62.5,86.3,89.9,85.3
7.6,81.2,55.4,86.0,57.1
8.3,78.6,87.2,61.0,85.2
6.9,91.6,40.3,62.6,71.1
7.2,95.3,81.6,72.0,74.3
8.6,50.6,85.9,40.0,67.1
3.2,83.7,45.9,54.5,47.6
5.4,52.6,60.8,52.5,51.8
3.0,77.4,44.9,55.0,48.8
9.9,64.4,77.4,88.4,74.3
9.5,65.3,67.1,56.8,69.4
1.4,67.6,73.1,51.5,55.8
7.4,81.1,46.8,70.3,62.1
9.3,66.7,47.7,91.9,80.2
2.6,86.6,37.5,54.5,47.6
6.1,70.2,54.3,44.7,49.3
9.2,53.4,68.6,61.4,75.8
1.3,89.2,86.5,84.9,60.5
7.3,64.3,75.0,73.0,69.6
3.7,71.6,61.1,89.0,60.2
9.3,84.3,92.2,97.6,94.1
9.7,66.6,78.2,87.6,87.4
9.5,52.8,90.8,76.2,88.4
5.3,68.7,66.7,69.6,64.8
8.8,97.2,50.5,42.4,64.9
8.6,82.1,38.2,99.1,70.5
3.9,83.6,78.6,63.0,78.1
8.5,81.6,42.3,49.1,69.7
1.3,59.9,53.2,80.0,56.3
6.4,70.9,66.9,57.1,72.2
3.1,87.5,68.9,75.1,61.5
2.1,55.1,71.0,75.2,52.5
1.7,63.9,45.0,66.7,42.1
7.3,63.8,57.8,90.2,60.5
4.1,71.6,72.0,55.9,58.7
7.5,99.0,93.2,66.9,90.1
1.6,53.4,78.7,72.3,47.7
3.8,75.9,90.4,79.8,69.6
5.9,59.0,80.7,87.0,74.0
8.1,98.5,70.5,63.7,74.2
3.9,55.7,46.5,78.8,48.3
6.6,70.2,75.0,49.0,61.9
9.0,86.9,72.4,96.0,80.9
6.5,85.2,71.1,63.0,64.1
3.1,71.1,64.4,83.8,52.5
1.2,67.3,66.7,41.2,50.9
8.8,69.9,55.1,52.3,64.6
1.2,63.2,66.2,69.2,47.7
8.9,60.3,46.9,92.7,68.7
5.8,74.2,83.3,71.6,76.8
9.5,63.4,46.1,95.8,80.7
8.2,64.4,40.1,69.0,68.3
10.0,82.8,61.2,69.4,81.9
4.2,98.4,74.5,47.2,62.7
7.9,80.2,61.3,88.2,69.4
4.6,53.8,51.6,54.8,60.3
5.3,53.8,68.5,94.0,60.2
6.6,97.6,55.8,94.6,76.9
8.9,64.9,91.0,96.6,91.2
9.9,54.6,90.4,71.2,80.6
7.9,80.0,65.1,80.6,80.5
4.8,81.2,54.7,86.7,66.3
4.8,82.4,79.2,47.9,72.9
7.6,63.4,37.2,76.1,59.5
3.1,50.8,63.5,42.1,39.9
2.0,98.3,55.2,69.9,51.2
4.2,62.5,90.2,49.3,62.7
3.6,83.8,35.7,51.0,48.0
3.7,85.3,68.2,61.9,57.8
3.1,80.5,79.4,65.9,51.1
1.4,65.6,64.1,77.4,51.2
1.2,63.6,40.1,44.5,45.5
9.9,79.9,93.3,70.2,91.5
4.8,93.3,66.1,51.0,66.0
4.5,97.3,71.9,74.4,70.8
7.1,55.3,49.2,78.2,64.4
3.0,57.7,64.0,73.4,56.9
9.5,97.2,60.7,84.3,85.5
8.1,86.8,39.5,60.1,65.0
1.8,94.1,41.4,85.9,46.4
4.8,60.1,85.2,66.0,63.0
8.9,79.4,49.4,69.1,73.8
9.5,85.1,46.7,78.9,74.5
5.2,84.0,65.3,41.1,62.3
6.5,70.4,81.1,79.2,75.2
2.5,50.8,38.7,77.1,46.3
9.9,79.1,69.6,58.6,86.6
3.1,62.7,42.2,45.1,43.2
9.5,72.5,37.2,45.5,59.2
6.8,97.9,38.2,95.4,67.4
6.5,70.0,85.0,81.4,74.7
5.6,92.0,42.1,47.6,48.6
3.1,59.4,37.7,61.4,50.2
2.6,83.6,61.3,75.5,56.2
3.0,98.9,85.6,90.1,71.4
2.7,55.1,50.7,42.6,48.9
8.0,50.4,60.3,54.2,61.1
4.2,71.7,37.4,93.4,57.1
1.5,54.6,61.9,40.5,40.3
9.7,87.4,69.7,52.1,79.2
9.0,95.7,69.3,97.5,82.2
9.3,71.7,54.9,76.8,83.2
10.0,62.9,53.9,55.7,70.2
2.6,71.7,41.4,44.0,46.0
4.6,86.2,57.0,41.7,47.3
7.8,50.5,41.0,54.7,63.8
7.3,79.5,81.0,92.9,84.9
2.4,80.7,93.0,65.0,62.7
8.3,81.9,93.2,83.2,84.7
3.0,62.1,86.9,95.1,65.3
3.0,85.7,71.0,64.5,70.1
5.8,54.6,77.1,51.5,53.3
6.3,60.0,52.1,71.0,64.2
6.2,93.9,72.8,94.5,71.9
1.8,86.9,62.3,88.3,55.5
8.9,50.7,63.9,43.9,65.8
3.4,62.4,80.5,81.6,58.6
2.2,60.7,51.9,74.3,46.5
9.0,63.5,54.1,94.4,68.9
9.6,62.4,90.5,47.3,85.5
8.8,53.1,38.4,72.0,54.8
8.3,72.9,64.1,92.8,79.5
6.9,86.6,89.8,64.6,76.5
6.0,80.3,71.6,68.9,63.0
1.8,83.6,67.8,44.2,51.0
4.7,54.1,50.0,56.7,43.0
4.4,97.6,55.6,59.5,60.7
3.3,91.9,86.1,96.7,63.2
7.5,90.3,68.6,57.0,75.7
5.5,91.1,65.9,67.7,62.8
1.7,96.6,41.0,80.3,47.4
3.0,77.2,36.0,49.7,45.7
7.1,60.0,92.8,69.2,71.2
1.7,80.8,57.6,84.3,51.7
8.7,87.1,71.2,92.0,75.5
5.5,86.9,39.8,77.6,63.4
5.3,76.1,76.0,80.1,77.4
6.3,53.4,91.0,47.6,81.1
8.4,68.6,69.5,96.7,78.9
4.1,96.0,42.6,48.0,57.5
7.1,79.2,69.9,86.5,65.7
6.1,76.9,81.0,55.9,76.9
3.4,63.4,59.4,96.0,60.7
8.9,68.4,87.8,83.2,81.2
8.2,94.8,73.9,85.2,88.8
6.9,83.3,89.0,53.1,74.2
8.7,89.4,72.4,66.6,77.7
8.8,72.7,42.9,77.1,72.2
7.4,81.5,53.6,86.2,65.9
8.5,62.4,47.1,46.2,68.4
7.3,85.3,89.5,97.7,78.8
7.1,71.4,80.6,93.4,72.1
6.6,72.1,75.6,56.2,64.1
7.8,82.5,53.1,89.4,76.9
2.4,96.8,46.0,71.1,49.1
8.9,53.2,80.4,67.7,69.3
8.8,91.2,63.4,58.9,73.9
1.3,64.6,48.5,74.9,43.1
8.4,72.2,72.0,83.8,72.1
2.2,51.1,37.4,64.7,33.1
4.0,65.1,54.6,77.8,65.6
7.7,75.1,63.1,82.0,68.9
2.4,52.8,43.9,82.7,42.9
8.4,74.6,94.1,43.1,77.2
8.5,96.4,47.5,91.6,74.9
5.6,55.3,42.8,67.5,56.7
1.1,88.2,47.2,55.7,48.7
3.6,70.5,81.1,54.5,57.7
6.6,82.8,60.5,69.0,62.0
9.8,63.0,68.9,93.2,87.9
6.7,58.0,36.3,62.7,54.9
3.3,58.0,37.1,85.0,55.7
6.7,53.5,61.7,45.8,48.3
5.9,59.3,84.0,68.6,69.0
8.0,83.2,88.1,99.5,95.6
2.0,94.1,40.2,86.2,49.0
7.8,90.7,67.3,52.6,72.4
5.9,84.3,89.8,70.1,76.4
9.7,55.5,58.3,54.0,67.8
4.1,64.5,84.8,64.6,60.8
6.7,65.5,43.0,86.8,60.8
9.4,62.5,91.1,86.3,82.5
1.9,75.8,80.1,53.7,60.0
9.4,76.8,91.5,95.3,92.3
7.2,67.8,75.6,75.6,74.0
1.6,67.7,56.8,62.8,49.6
3.7,91.4,91.3,70.1,67.8
7.4,89.5,51.5,76.3,66.8
1.6,65.4,54.9,73.6,43.2
6.2,95.7,77.0,69.2,74.3
4.1,97.6,80.9,70.3,63.4
6.6,66.3,90.8,50.6,68.7
1.4,67.7,47.3,88.8,43.4
8.8,75.3,82.9,72.5,92.2
9.8,97.1,79.3,47.9,70.8
9.7,93.8,38.8,86.0,76.4
7.7,55.1,58.2,95.9,78.4
2.2,69.6,52.0,96.8,52.3
7.8,77.7,53.3,62.1,71.9
1.2,75.2,94.0,48.1,55.2
1.2,59.7,73.6,71.1,45.5
3.9,92.9,78.1,46.8,51.5
5.4,83.8,93.6,96.0,79.2
7.9,91.9,57.6,51.0,67.1
7.1,92.9,83.1,55.2,72.6
5.0,87.4,61.1,64.4,60.5
3.5,72.0,87.2,63.0,71.0
10.0,80.5,45.8,87.7,90.0
4.8,58.0,91.9,67.4,67.2
5.1,83.7,48.1,50.2,54.2
2.5,59.0,54.6,56.0,39.4
8.2,84.7,80.4,70.5,82.7
7.2,61.5,58.6,48.8,71.3
3.0,55.9,71.5,76.7,53.4
1.7,58.3,61.7,73.9,35.3
7.1,50.1,79.5,82.9,74.5
6.9,85.9,48.7,96.3,75.3
3.5,86.6,38.5,94.7,47.4
9.6,75.7,53.0,96.8,80.0
2.4,58.1,63.5,54.7,49.5
4.9,54.2,45.1,47.9,48.3
9.5,51.0,56.3,58.1,65.1
4.8,58.3,59.0,93.7,65.3
6.7,94.5,38.4,98.3,66.6
4.6,62.1,70.0,91.6,55.8
3.5,67.7,88.1,46.6,49.0
9.9,55.3,44.1,96.8,79.8
4.7,61.1,70.9,65.4,62.8
9.0,76.0,74.9,40.6,75.7
3.1,80.4,60.2,66.5,52.8
2.9,62.3,77.1,42.8,49.5
1.3,52.9,59.6,72.6,38.5
6.9,69.6,65.3,60.3,64.5
4.3,61.7,35.4,68.4,37.7
8.8,61.0,76.5,76.8,73.8
5.3,98.0,74.7,92.1,72.8
9.7,80.8,37.3,79.7,76.3
2.7,77.8,57.1,66.0,51.8
8.8,70.8,93.7,89.2,90.4
8.0,71.4,60.2,94.3,81.2
7.9,77.0,65.1,47.2,75.0
8.6,84.8,89.6,71.9,87.1
7.8,85.1,78.0,57.1,76.3
6.6,58.6,69.9,42.8,57.3
2.2,75.0,82.9,80.1,63.3
1.3,70.6,86.9,91.8,66.9
9.3,93.5,62.4,49.8,79.2
6.5,81.6,63.5,88.7,81.0
8.2,76.6,58.2,91.2,67.5
5.3,55.8,93.0,94.9,66.1
2.1,80.3,76.8,55.9,59.1
2.1,55.9,40.0,94.2,46.0
7.2,66.9,86.8,59.2,80.1
4.9,57.1,63.8,73.1,58.6
2.8,84.6,39.1,43.0,40.6
5.4,60.3,68.0,42.6,56.7
1.6,69.6,60.0,83.2,42.3
6.2,94.8,87.7,66.7,71.3
3.4,60.2,47.2,55.4,51.3
8.2,75.4,84.6,51.4,81.2
3.8,71.0,68.5,80.2,61.9
5.1,50.9,38.3,40.0,36.9
1.1,89.6,93.3,88.4,61.2
1.7,53.5,65.8,44.8,37.0
4.5,73.7,52.5,51.5,59.8
5.3,78.0,63.2,63.2,59.7
6.4,81.4,86.5,69.1,69.6
3.6,84.4,53.3,61.3,54.8
7.3,62.7,46.6,59.2,57.7
8.7,50.5,42.7,97.8,75.4
8.0,86.2,52.9,78.5,69.2
1.4,76.8,81.8,41.4,44.0
5.3,91.8,63.3,65.8,55.0
1.9,91.1,48.6,92.5,53.2
3.2,92.2,45.0,58.1,49.0
9.9,74.3,55.0,45.7,65.7
2.3,66.7,91.4,85.5,67.6
5.5,89.6,55.6,76.4,68.6
6.6,72.6,94.3,74.2,76.9
7.3,59.2,64.1,43.2,69.9
6.0,92.7,45.7,48.4,63.8
1.1,94.1,88.5,77.4,56.7
3.9,73.3,62.6,52.5,49.8
5.7,53.8,77.6,70.2,68.6
1.8,69.4,94.0,72.7,61.3
4.2,90.2,38.0,57.0,53.5
1.3,95.1,40.8,96.9,46.1
1.7,60.2,78.2,90.5,58.1
4.6,53.3,51.9,83.3,51.0
2.2,93.9,46.1,44.7,46.5
6.1,69.5,37.4,46.4,60.7
7.2,77.1,36.3,69.6,58.6
8.2,98.4,81.5,49.6,72.4
2.8,53.3,43.1,98.7,42.9
2.5,82.4,63.1,49.5,56.6
1.9,53.7,71.4,69.2,50.5
6.7,68.8,60.7,61.8,64.0
7.4,90.2,36.6,78.4,64.1
1.3,71.7,82.0,47.7,53.1
9.4,99.9,35.6,65.8,69.2
1.5,78.0,80.7,56.5,55.1
5.9,66.1,88.6,93.3,70.8
7.4,61.0,61.0,42.4,58.3
8.8,67.5,67.1,94.8,75.5
7.4,68.6,63.6,90.0,70.3
8.2,53.4,58.4,57.9,65.3
4.1,68.5,88.2,87.4,68.8
8.3,73.2,88.6,41.9,58.1
1.7,86.1,55.1,98.0,50.4
9.1,82.8,71.9,71.6,78.8
5.9,85.4,90.6,58.2,81.2
8.4,50.4,92.7,61.8,71.2
5.1,60.9,65.5,44.0,57.1
6.8,83.1,62.2,99.4,81.5
5.7,74.2,51.7,42.4,50.1
7.6,50.3,92.5,79.3,78.3
1.7,90.2,43.6,66.6,43.0
1.5,88.6,69.8,96.9,55.9
3.2,77.4,52.0,54.8,46.5
2.4,53.3,51.7,71.9,41.7
8.8,88.3,59.3,68.9,90.2
3.0,79.2,94.9,82.2,71.4
9.8,89.1,38.3,44.1,75.7
4.0,87.6,69.7,51.6,62.6
2.6,90.2,40.0,52.9,39.0
8.1,75.9,44.3,84.3,71.4
6.9,57.0,61.4,51.3,67.0
5.5,83.6,65.6,74.4,62.5
6.0,81.0,50.5,52.9,65.1
7.5,87.1,54.0,91.7,77.1
3.1,58.5,40.2,96.5,58.3
10.0,59.7,53.2,71.1,71.5
9.8,94.5,93.0,61.1,84.8
6.9,87.5,91.7,54.0,75.5
2.8,95.4,55.1,43.0,59.0
7.1,87.9,69.3,56.1,62.5
1.6,79.9,89.6,79.3,50.0
1.3,82.7,35.4,72.0,43.0
3.3,94.5,83.6,96.6,67.8
5.2,78.9,91.9,63.8,71.2
8.8,81.6,40.5,81.6,76.2
7.5,57.8,44.7,69.4,58.9
7.7,73.7,92.6,70.8,70.7
4.8,85.8,67.3,56.1,72.8
4.1,63.5,35.9,67.3,42.9
4.3,60.1,50.5,68.2,47.2
9.9,65.7,62.0,82.4,84.3
1.4,62.1,76.6,96.4,52.8
8.8,60.7,79.0,59.8,75.3
6.2,71.2,94.7,42.5,73.1
4.9,95.4,52.3,69.8,67.8
7.5,75.4,67.3,72.7,70.8
5.4,59.4,67.0,50.1,66.0
8.9,53.8,59.3,85.6,61.9
9.1,84.8,45.1,99.1,81.0
4.8,69.1,93.6,96.7,69.0
3.5,91.1,86.2,51.8,71.0
6.3,83.0,64.9,92.5,72.7
9.2,89.8,71.2,82.3,80.5
2.9,63.6,48.6,67.2,50.8
6.6,84.6,67.6,72.4,75.6
6.7,63.2,76.7,91.0,76.0
7.6,97.0,65.9,68.8,70.9
2.2,81.8,94.4,62.4,59.3
7.4,66.2,71.7,69.6,71.1
9.2,63.5,57.3,74.7,73.1
2.6,59.5,81.3,51.3,56.8
3.1,84.7,45.2,94.1,45.4
9.7,60.9,58.1,80.5,77.3
2.6,79.8,55.8,78.0,52.1
8.7,63.2,60.9,46.0,64.1
5.4,83.1,81.9,76.3,67.8
3.2,90.7,64.1,47.3,54.6
8.8,88.9,82.6,44.7,62.1
5.0,88.0,69.6,71.6,63.2
5.6,59.4,55.5,64.2,53.4
4.2,54.4,83.6,75.3,64.6
6.3,84.9,49.3,45.4,56.6
2.5,68.4,48.5,65.9,45.8
4.5,71.6,65.3,50.5,64.9
9.7,51.6,50.7,99.2,79.3
3.3,63.0,35.5,73.7,50.4
6.9,51.7,73.9,81.2,66.3
3.9,94.0,65.7,59.5,63.8
8.0,62.2,61.7,45.7,64.6
2.2,77.9,93.0,98.6,65.0
9.7,51.9,69.3,57.2,75.7
5.1,83.3,86.8,65.4,67.4
3.1,66.2,43.4,79.0,56.4
1.7,94.9,69.2,41.5,51.1
2.5,94.4,87.1,88.6,70.1
5.7,66.3,70.0,72.2,72.3
4.0,95.0,78.1,56.7,70.1
